歌曲名,表演者,榜单名
顺风车,张信哲,百度音乐:新歌TOP100
食为天,小沈阳,百度音乐:新歌TOP100
香奈儿,常石磊,百度音乐:新歌TOP100
马小跳,胡灵,百度音乐:新歌TOP100
马赛克,蔡依林,百度音乐:新歌TOP100
骑大马,张铠麟,百度音乐:新歌TOP100
高八度,王菀之,百度音乐:新歌TOP100
鱼罐头,周笔畅,百度音乐:新歌TOP100
鸿门宴,胡彦斌,百度音乐:新歌TOP100
麦烝玮,周杰伦,百度音乐:新歌TOP100
黑眼圈,汪苏泷,百度音乐:新歌TOP100
黑苹果,周笔畅,百度音乐:新歌TOP100
龙卷风,G.E.M.邓紫棋,百度音乐:新歌TOP100
？？？,K.Will,百度音乐:新歌TOP100
？？？,miss A,百度音乐:新歌TOP100
？？？,Jay Park,百度音乐:新歌TOP100
？？？,崔振赫,百度音乐:新歌TOP100
？？？,"Navi,Kebee",百度音乐:新歌TOP100
？？？,"宣美,Lena",百度音乐:新歌TOP100
？？？,防弹少年团,百度音乐:新歌TOP100
#Beautiful,"Mariah Carey,Miguel",百度音乐:新歌TOP100
#ThatPOWER,"Justin Bieber,will.i.am",百度音乐:新歌TOP100
8090的歌,张杰,百度音乐:新歌TOP100
Army Of Me,Christina Aguilera,百度音乐:新歌TOP100
Baby Maybe,少女时代,百度音乐:新歌TOP100
Better Man,陈明,百度音乐:新歌TOP100
Break Down,Super Junior-M,百度音乐:新歌TOP100
Break Free,Scott & Rivers,百度音乐:新歌TOP100
Cappuccino,刘瑞琦,百度音乐:新歌TOP100
Con Locura,Sohanny Sua,百度音乐:新歌TOP100
Dear Marie,John Mayer,百度音乐:新歌TOP100
Easy Lover,"林志炫,萧敬腾",百度音乐:新歌TOP100
Fancy Free,何耀珊,百度音乐:新歌TOP100
Fly My Way,林宥嘉,百度音乐:新歌TOP100
Greedy Man,CNBLUE,百度音乐:新歌TOP100
Holy Grail,"Jay-Z,Justin Timberlake",百度音乐:新歌TOP100
How I Wish,梁咏琪,百度音乐:新歌TOP100
I Like You,GOT7,百度音乐:新歌TOP100
I Love You,Just,百度音乐:新歌TOP100
I Love You,"鬼鬼,玉泽演",百度音乐:新歌TOP100
I'm A Mess,Ed Sheeran,百度音乐:新歌TOP100
LETTING GO,JYJ,百度音乐:新歌TOP100
Last Romeo,,百度音乐:新歌TOP100
Last Romeo,INFINITE,百度音乐:新歌TOP100
Last Romeo,Infinite,百度音乐:新歌TOP100
Le miracle,C&eacute;line Dion,百度音乐:新歌TOP100
Let You Go,华晨宇,百度音乐:新歌TOP100
Love Hurts,李敏镐,百度音乐:新歌TOP100
Loving You,金志文,百度音乐:新歌TOP100
Loving You,Michael Jackson,百度音乐:新歌TOP100
Mr Lovable,刘瑞琦,百度音乐:新歌TOP100
Mr.Sandman,陈冠希,百度音乐:新歌TOP100
My Destiny,LYn,百度音乐:新歌TOP100
My Destiny,Lyn,百度音乐:新歌TOP100
Poker Face,Lady Gaga,百度音乐:新歌TOP100
Run To You,Lasse Lindh,百度音乐:新歌TOP100
Sugar Free,T-ara,百度音乐:新歌TOP100
Suit & Tie,"Justin Timberlake					  /    Jay-Z",百度音乐:新歌TOP100
Super Star,艾菲,百度音乐:新歌TOP100
Superpower,"Beyonce,Frank Ocean",百度音乐:新歌TOP100
Talk Dirty,Jason Derulo,百度音乐:新歌TOP100
Talk Dirty,"Jason Derulo,2 Chainz",百度音乐:新歌TOP100
Talk To Me,？？？,百度音乐:新歌TOP100
The Shadow,宝儿,百度音乐:新歌TOP100
Wastelands,Linkin Park,百度音乐:新歌TOP100
West Coast,Lana Del Rey,百度音乐:新歌TOP100
Who We Are,Boyzone,百度音乐:新歌TOP100
Work Bitch,Britney Spears,百度音乐:新歌TOP100
You And Me,王若琳,百度音乐:新歌TOP100
forever 21,曾轶可,百度音乐:新歌TOP100
get it hot,mic男团,百度音乐:新歌TOP100
hold不住,谭维维,百度音乐:新歌TOP100
lemon tree,王若琳,百度音乐:新歌TOP100
letting go,蔡健雅,百度音乐:新歌TOP100
lucky boys,至上励合,百度音乐:新歌TOP100
mr.sandman,陈冠希,百度音乐:新歌TOP100
one chance,张杰,百度音乐:新歌TOP100
party time,李玟,百度音乐:新歌TOP100
talk to me,twins,百度音乐:新歌TOP100
伤+患者,李代沫,百度音乐:新歌TOP100
你好吗!,易桀齐,百度音乐:新歌TOP100
北京City,"苏醒,鲁赛赛",百度音乐:新歌TOP100
她 (Live),王思远,百度音乐:新歌TOP100
忐忑+Bad,张玮,百度音乐:新歌TOP100
恋曲1980,陶喆,百度音乐:新歌TOP100
恋曲1990,品冠,百度音乐:新歌TOP100
恋曲2012,曾轶可,百度音乐:新歌TOP100
我的MIDI,金志文,百度音乐:新歌TOP100
我能CHUA,马飞,百度音乐:新歌TOP100
房间1501,李霄云,百度音乐:新歌TOP100
"爱,复活",李小璐,百度音乐:新歌TOP100
爱你1314,正月十五,百度音乐:新歌TOP100
画 (Live),赵雷,百度音乐:新歌TOP100
站台2010,杨坤,百度音乐:新歌TOP100
谁Control,韩庚,百度音乐:新歌TOP100
？ ？？,文明真,百度音乐:新歌TOP100
？ ？？,？？？,百度音乐:新歌TOP100
？？？2,Cold Cherry,百度音乐:新歌TOP100
19 You + Me,Dan + Shay,百度音乐:新歌TOP100
"23秒,32年",尚雯婕,百度音乐:新歌TOP100
24个比利,潘玮柏,百度音乐:新歌TOP100
7岁 (7？),JYJ,百度音乐:新歌TOP100
AOAEO出发,李宇春,百度音乐:新歌TOP100
Air Balloon,Lily Allen,百度音乐:新歌TOP100
Better Life,飞儿乐团,百度音乐:新歌TOP100
Black Pearl,EXO-K,百度音乐:新歌TOP100
Brutal Love,Green Day,百度音乐:新歌TOP100
Coffee shop,CNBLUE,百度音乐:新歌TOP100
Cruel World,Lana Del Rey,百度音乐:新歌TOP100
DJ万万岁,王绎龙,百度音乐:新歌TOP100
Dear Friend,阿来,百度音乐:新歌TOP100
Double Face,谢容儿,百度音乐:新歌TOP100
Double Kiss,朴正炫,百度音乐:新歌TOP100
Future Wife,Phantom,百度音乐:新歌TOP100
Glowing Sun,彭青,百度音乐:新歌TOP100
Good As You,张铠麟,百度音乐:新歌TOP100
Good Kisser,Usher,百度音乐:新歌TOP100
HOW ARE YOU,东方神起,百度音乐:新歌TOP100
Hello Hello,张根硕,百度音乐:新歌TOP100
I Feel Good,吉克隽逸,百度音乐:新歌TOP100
I Got A Boy,少女时代,百度音乐:新歌TOP100
I'm A Freak,Enrique Iglesias,百度音乐:新歌TOP100
It’s Over,李夏怡,百度音乐:新歌TOP100
Jaeger Tech,Tom Morello,百度音乐:新歌TOP100
LIKE A SOAP,东方神起,百度音乐:新歌TOP100
Let Me Know,CNBLUE,百度音乐:新歌TOP100
Let's Vogue,吉克隽逸,百度音乐:新歌TOP100
Lotus Intro,Christina Aguilera,百度音乐:新歌TOP100
Love Letter,Kara,百度音乐:新歌TOP100
Love On Top,艾菲,百度音乐:新歌TOP100
Lovely Girl,5live,百度音乐:新歌TOP100
Pacific Rim,Tom Morello,百度音乐:新歌TOP100
Ringa Linga,太阳(BIGBANG),百度音乐:新歌TOP100
Rock N Roll,Avril Lavigne,百度音乐:新歌TOP100
Secret Love,"？？,Outsider",百度音乐:新歌TOP100
Set Me Free,TAEYEON,百度音乐:新歌TOP100
Sing It Out,戴佩妮,百度音乐:新歌TOP100
Smile Again,KCM,百度音乐:新歌TOP100
Stars Dance,Selena Gomez & The Scene,百度音乐:新歌TOP100
Summer Time,"吉克隽逸,Snoop Dogg",百度音乐:新歌TOP100
Super Woman,"萧敬腾,肖洒",百度音乐:新歌TOP100
Tell Me Why,Toheart(WooHyun&Key),百度音乐:新歌TOP100
The Monster,"Eminem,Rihanna",百度音乐:新歌TOP100
Trespassing,Adam Lambert,百度音乐:新歌TOP100
We are Love,IL Volo,百度音乐:新歌TOP100
Without You,"黄绮珊,The One",百度音乐:新歌TOP100
Young Girls,Bruno Mars,百度音乐:新歌TOP100
baby sister,曾轶可,百度音乐:新歌TOP100
baby sister,曾轶可+李霄云,百度音乐:新歌TOP100
be with you,潘玮柏/akon,百度音乐:新歌TOP100
glee sunday,给力小子,百度音乐:新歌TOP100
is this all,吴建豪,百度音乐:新歌TOP100
why me 2010,李宇春,百度音乐:新歌TOP100
喝酒Blues,张岭,百度音乐:新歌TOP100
失恋Style,丁丁,百度音乐:新歌TOP100
有Me就好,alan,百度音乐:新歌TOP100
江南Style,Psy,百度音乐:新歌TOP100
爱·转弯,王子鸣,百度音乐:新歌TOP100
看我72变,陶喆,百度音乐:新歌TOP100
Ain't Nobody,HA:TFELT,百度音乐:新歌TOP100
Another Love,Tom Odell,百度音乐:新歌TOP100
Big Boys Cry,安室奈美惠,百度音乐:新歌TOP100
Boom Bi Boom,S翼乐团,百度音乐:新歌TOP100
Brand New Me,Alicia Keys,百度音乐:新歌TOP100
"C'mon, C'mon",One Direction,百度音乐:新歌TOP100
Can’t Stop,CNBLUE,百度音乐:新歌TOP100
Clueless Boy,陈妍希,百度音乐:新歌TOP100
Diamond Girl,CNBLUE,百度音乐:新歌TOP100
Encore La La,郭静,百度音乐:新歌TOP100
End of Night,Dido,百度音乐:新歌TOP100
Endless Love,"萧敬腾,吴琼",百度音乐:新歌TOP100
FLOWER POWER,少女时代,百度音乐:新歌TOP100
Face The Sun,James Blunt,百度音乐:新歌TOP100
Flower Power,少女时代,百度音乐:新歌TOP100
Forever Road,曾轶可,百度音乐:新歌TOP100
Gipsy Danger,电影原声,百度音乐:新歌TOP100
Good Tonight,GOT7,百度音乐:新歌TOP100
Goodbye Town,Lady Antebellum,百度音乐:新歌TOP100
Gwiyomi song,Hari,百度音乐:新歌TOP100
HERE I STAND,东方神起,百度音乐:新歌TOP100
HK Superstar,欧阳靖,百度音乐:新歌TOP100
Happy Loving,王心凌,百度音乐:新歌TOP100
I Wanna Rock,刘雅婷,百度音乐:新歌TOP100
In Your Eyes,杨丞琳,百度音乐:新歌TOP100
Intro (Rise),太阳,百度音乐:新歌TOP100
It's My Life,熊汝霖,百度音乐:新歌TOP100
Love Can Fly,袁娅维,百度音乐:新歌TOP100
Love Someone,,百度音乐:新歌TOP100
Love Someone,Jason Mraz,百度音乐:新歌TOP100
Love Supreme,李珉宇,百度音乐:新歌TOP100
Moopa 暮趴,黄晓明,百度音乐:新歌TOP100
My Love Song,My Little Memory,百度音乐:新歌TOP100
Ready or not,杨千嬅,百度音乐:新歌TOP100
Run (奔跑),EXO-M,百度音乐:新歌TOP100
Running Away,周笔畅,百度音乐:新歌TOP100
Stay With Me,"太阳,G-Dragon",百度音乐:新歌TOP100
Troublemaker,Olly Murs/Flo Rida,百度音乐:新歌TOP100
What Is Love,Janelle Monae,百度音乐:新歌TOP100
Who You Love,"John Mayer,Katy Perry",百度音乐:新歌TOP100
burning gold,Christina Perri,百度音乐:新歌TOP100
dancing girl,马赛克乐队,百度音乐:新歌TOP100
in the ocean,"梁晓雪,魏如萱",百度音乐:新歌TOP100
in the ocean,魏如萱+梁晓雪,百度音乐:新歌TOP100
ready or not,杨千嬅,百度音乐:新歌TOP100
一万光年,胡彦斌,百度音乐:新歌TOP100
一丝不挂,陈奕迅,百度音乐:新歌TOP100
一人独得,苏永康,百度音乐:新歌TOP100
一代天骄,张芸京,百度音乐:新歌TOP100
一半一半,吴克群,百度音乐:新歌TOP100
一吻天荒,胡歌,百度音乐:新歌TOP100
一块红布,刘明辉,百度音乐:新歌TOP100
一夜惊喜,范冰冰&李治廷,百度音乐:新歌TOP100
一夜惊喜,"范冰冰,李治廷",百度音乐:新歌TOP100
一念之间,陶喆,百度音乐:新歌TOP100
一念执着,胡歌,百度音乐:新歌TOP100
一把年纪,林永健,百度音乐:新歌TOP100
一无所有,刘明辉,百度音乐:新歌TOP100
一无所有,"陈羽凡,陈俊豪",百度音乐:新歌TOP100
一点一滴,羽泉,百度音乐:新歌TOP100
一点一点,李宇春,百度音乐:新歌TOP100
一生一世,方力申,百度音乐:新歌TOP100
一生所爱,舒淇,百度音乐:新歌TOP100
一生无悔,高安,百度音乐:新歌TOP100
一直相爱,许志安,百度音乐:新歌TOP100
一直都在,蔡卓妍,百度音乐:新歌TOP100
一直都在,郭富城,百度音乐:新歌TOP100
一眼初春,"孙子涵,Xun,常定晨,小峰峰",百度音乐:新歌TOP100
一瞬之光,a-lin,百度音乐:新歌TOP100
一秒也好,卓文萱,百度音乐:新歌TOP100
一肩之隔,秦岚,百度音乐:新歌TOP100
一见钟情,李晟,百度音乐:新歌TOP100
一见钟情,李炜,百度音乐:新歌TOP100
一见钟情,"柳岩,黄灿盛",百度音乐:新歌TOP100
一觉醒来,倪安东,百度音乐:新歌TOP100
一触即发,炎亚纶,百度音乐:新歌TOP100
一言难尽,"陈羽凡,陈俊豪",百度音乐:新歌TOP100
一起摇摆,汪峰,百度音乐:新歌TOP100
一起摇摆,罗熙杰,百度音乐:新歌TOP100
一起老去,"薛凯琪,陈意涵,杨子姗",百度音乐:新歌TOP100
一起跳舞,海龟先生,百度音乐:新歌TOP100
一起长大,秦勇,百度音乐:新歌TOP100
一路挺你,羽泉,百度音乐:新歌TOP100
一路落花,满江,百度音乐:新歌TOP100
一路高飞,妞妞（好声音学员）,百度音乐:新歌TOP100
一追再追,郑秀文,百度音乐:新歌TOP100
一页台北,郭采洁,百度音乐:新歌TOP100
一首心歌,吉克隽逸,百度音乐:新歌TOP100
一首情歌,任重,百度音乐:新歌TOP100
一首情歌,姚笛,百度音乐:新歌TOP100
七上八下,蔡依林,百度音乐:新歌TOP100
七号公路,飞儿乐团,百度音乐:新歌TOP100
七夕情缘,斯琴高丽,百度音乐:新歌TOP100
万有引力,汪苏泷,百度音乐:新歌TOP100
三个愿望,梁文音,百度音乐:新歌TOP100
三十好几,张信哲,百度音乐:新歌TOP100
三十而立,胡彦斌,百度音乐:新歌TOP100
三天三夜,歌浴森,百度音乐:新歌TOP100
三天三夜,"歌浴森,张玮",百度音乐:新歌TOP100
三天三夜,歌浴森/张玮,百度音乐:新歌TOP100
三寸天堂,严艺丹,百度音乐:新歌TOP100
上帝包邮,崔子格,百度音乐:新歌TOP100
上流玩法,艾怡良,百度音乐:新歌TOP100
上空河马,自由发挥,百度音乐:新歌TOP100
下一个我,炎亚纶,百度音乐:新歌TOP100
下个雨季,庾澄庆,百度音乐:新歌TOP100
不像情歌,小贱,百度音乐:新歌TOP100
不再联系,"夏天Alex,崔子格",百度音乐:新歌TOP100
不再联系,"崔子格,夏天Alex",百度音乐:新歌TOP100
不只有缘,张学友,百度音乐:新歌TOP100
不唱情歌,姚贝娜,百度音乐:新歌TOP100
不如今晚,"陈慧琳,郑伊健,梁家辉",百度音乐:新歌TOP100
不屑悲伤,戴爱玲,百度音乐:新歌TOP100
不弃不离,羽泉,百度音乐:新歌TOP100
不忘初心,李行亮,百度音乐:新歌TOP100
不想你走,王洋,百度音乐:新歌TOP100
不想放手,井柏然,百度音乐:新歌TOP100
不想醒来,潘玮柏,百度音乐:新歌TOP100
不懂自己,Karey天天,百度音乐:新歌TOP100
不敢爱你,杨坤,百度音乐:新歌TOP100
不是故意,by2,百度音乐:新歌TOP100
不是明星,余文乐,百度音乐:新歌TOP100
不爱也罢,张玮,百度音乐:新歌TOP100
不爱最大,黄小琥,百度音乐:新歌TOP100
不留纪念,周觅,百度音乐:新歌TOP100
不盲不爱,"刘德华,郑秀文",百度音乐:新歌TOP100
不知去向,梁博,百度音乐:新歌TOP100
不离不弃,艾歌,百度音乐:新歌TOP100
不要不要,卓文萱,百度音乐:新歌TOP100
不讲道理,黄小琥,百度音乐:新歌TOP100
与爱为邻,范玮琪,百度音乐:新歌TOP100
专属于你,潘玮柏,百度音乐:新歌TOP100
且听风吟,陈楚生,百度音乐:新歌TOP100
世外桃源,许巍,百度音乐:新歌TOP100
世界看我,刘力扬,百度音乐:新歌TOP100
世说心语,孙燕姿,百度音乐:新歌TOP100
两手空空,张震岳,百度音乐:新歌TOP100
两道彩虹,刘忻,百度音乐:新歌TOP100
中国吉祥,玖月奇迹,百度音乐:新歌TOP100
中国味道,凤凰传奇,百度音乐:新歌TOP100
中国范儿,玖月奇迹,百度音乐:新歌TOP100
临崖勒马,谢安琪,百度音乐:新歌TOP100
临时演员,黄渤,百度音乐:新歌TOP100
为你伤怀,蓝雨,百度音乐:新歌TOP100
为你钟情,卫兰,百度音乐:新歌TOP100
为梦痴狂,"常石磊,孙伯纶,于超颖,霍尊,郭一帆",百度音乐:新歌TOP100
为梦而来,张玮,百度音乐:新歌TOP100
为梦而狂,"关喆,茜拉",百度音乐:新歌TOP100
为爱启丞,杨丞琳,百度音乐:新歌TOP100
为爱启程,杨丞琳,百度音乐:新歌TOP100
为爱感动,李宇春,百度音乐:新歌TOP100
为爱放手,许鹤缤,百度音乐:新歌TOP100
为爱犯贱,沈世爱,百度音乐:新歌TOP100
为爱痴狂,刘若英,百度音乐:新歌TOP100
为爱痴狂,金志文,百度音乐:新歌TOP100
为爱相随,"韩雷,路默依",百度音乐:新歌TOP100
九个太阳,周晓鸥,百度音乐:新歌TOP100
九月鹰飞,"李治廷,黄龄",百度音乐:新歌TOP100
也许明天,姚贝娜,百度音乐:新歌TOP100
也许明天,孙伯纶,百度音乐:新歌TOP100
也许明天,曾一鸣,百度音乐:新歌TOP100
乱世佳人,张继聪,百度音乐:新歌TOP100
二人同行,郭美美,百度音乐:新歌TOP100
二话西游,徐誉滕,百度音乐:新歌TOP100
云淡风轻,平安,百度音乐:新歌TOP100
五环之歌,"王麟,南城二哥",百度音乐:新歌TOP100
井字游戏,井柏然,百度音乐:新歌TOP100
亲密爱人,王若琳,百度音乐:新歌TOP100
亲密爱人,萧敬腾,百度音乐:新歌TOP100
亲密爱人,"胡海泉,田斯斯",百度音乐:新歌TOP100
人人弹起,Twins,百度音乐:新歌TOP100
什么什么,尚雯婕,百度音乐:新歌TOP100
今生今世,张杰,百度音乐:新歌TOP100
从头再来,孙楠,百度音乐:新歌TOP100
从心跳跃,周韦彤,百度音乐:新歌TOP100
从爱发落,罗志祥,百度音乐:新歌TOP100
他不是你,钟舒漫,百度音乐:新歌TOP100
他不爱我,张杰,百度音乐:新歌TOP100
他不爱我,金莎,百度音乐:新歌TOP100
他的唯一,陈思成,百度音乐:新歌TOP100
他说的谎,庄心妍,百度音乐:新歌TOP100
以爱之名,萧敬腾,百度音乐:新歌TOP100
任性情人,王心凌,百度音乐:新歌TOP100
会过去的,梁静茹,百度音乐:新歌TOP100
会飞的贼,曾轶可,百度音乐:新歌TOP100
传世乐章,汪苏泷,百度音乐:新歌TOP100
传奇罪人,李克勤,百度音乐:新歌TOP100
伤心旅客,曹方,百度音乐:新歌TOP100
伤心童话,胡夏,百度音乐:新歌TOP100
似曾相识,李克勤,百度音乐:新歌TOP100
似火年华,李宇春,百度音乐:新歌TOP100
你不是说,程晨,百度音乐:新歌TOP100
你不是说,那英,百度音乐:新歌TOP100
你不爱我,郁可唯,百度音乐:新歌TOP100
你们的爱,周笔畅,百度音乐:新歌TOP100
你会不会,梁静茹,百度音乐:新歌TOP100
你在哪里,张婧,百度音乐:新歌TOP100
你在哪里,张杰,百度音乐:新歌TOP100
你幸福吗,二手玫瑰,百度音乐:新歌TOP100
你怎么看,蓝雨,百度音乐:新歌TOP100
你敢不敢,徐佳莹,百度音乐:新歌TOP100
你是你的,弦子,百度音乐:新歌TOP100
你是唯一,张芸京,百度音乐:新歌TOP100
你是女生,80年代组合,百度音乐:新歌TOP100
你曾说过,多亮,百度音乐:新歌TOP100
你最醒目,苏醒,百度音乐:新歌TOP100
你本出色,张铠麟,百度音乐:新歌TOP100
你爱我吗,毛宁,百度音乐:新歌TOP100
你的微笑,侯磊,百度音乐:新歌TOP100
你的样子,齐秦,百度音乐:新歌TOP100
你的眼泪,许美静,百度音乐:新歌TOP100
你的眼睛,"陈羽凡,米可",百度音乐:新歌TOP100
你的眼神,林志炫,百度音乐:新歌TOP100
你的背包,多亮,百度音乐:新歌TOP100
你的背包,陈奕迅,百度音乐:新歌TOP100
你要的爱,许明明,百度音乐:新歌TOP100
你让我懂,陈慧琳,百度音乐:新歌TOP100
你说的对,李霄云,百度音乐:新歌TOP100
依然是你,胡彦斌,百度音乐:新歌TOP100
依然爱你,王力宏,百度音乐:新歌TOP100
依然相信,马健南,百度音乐:新歌TOP100
侠侣神雕,张宇,百度音乐:新歌TOP100
保龄男孩,电影原声,百度音乐:新歌TOP100
信者得爱,郑秀文,百度音乐:新歌TOP100
修炼爱情,林俊杰,百度音乐:新歌TOP100
倩女幽魂,张国荣,百度音乐:新歌TOP100
倾国倾城,莫文蔚,百度音乐:新歌TOP100
倾城之泪,任贤齐,百度音乐:新歌TOP100
傻傻爱你,李晟,百度音乐:新歌TOP100
傻瓜探戈,胡夏,百度音乐:新歌TOP100
傻瓜旅行,桂雨濛,百度音乐:新歌TOP100
像个孩子,侯磊,百度音乐:新歌TOP100
像个孩子,"张恒远,汪峰",百度音乐:新歌TOP100
像我这样,郭静,百度音乐:新歌TOP100
兄弟一起,胡志辉,百度音乐:新歌TOP100
兄弟我说,萧敬腾,百度音乐:新歌TOP100
兄弟本色,张震岳,百度音乐:新歌TOP100
兄弟难当,杜歌,百度音乐:新歌TOP100
光辉岁月,刘威煌,百度音乐:新歌TOP100
光辉岁月,陈奕迅,百度音乐:新歌TOP100
入戏太深,郑源,百度音乐:新歌TOP100
全城热恋,bobo,百度音乐:新歌TOP100
全城热爱,罗志祥,百度音乐:新歌TOP100
全新飞翔,蔡琴,百度音乐:新歌TOP100
全球变冷,许嵩,百度音乐:新歌TOP100
全面通缉,潘玮柏,百度音乐:新歌TOP100
六号包厢,袁成杰,百度音乐:新歌TOP100
六月飞霜,陈奕迅,百度音乐:新歌TOP100
关于结束,至上励合,百度音乐:新歌TOP100
兽血沸腾,弦子,百度音乐:新歌TOP100
再见昨天,刘忻,百度音乐:新歌TOP100
再见王子,棉花糖,百度音乐:新歌TOP100
写一首歌,张韶涵,百度音乐:新歌TOP100
军港之夜,孟文豪,百度音乐:新歌TOP100
冬天来了,曹扬,百度音乐:新歌TOP100
决斗巴哈,南拳妈妈,百度音乐:新歌TOP100
冷血动物,丁当,百度音乐:新歌TOP100
凌晨两点,李健,百度音乐:新歌TOP100
减什么肥,郑志立,百度音乐:新歌TOP100
凤凰于飞,刘欢,百度音乐:新歌TOP100
凭什么说,刘心,百度音乐:新歌TOP100
出人头地,伊犁哈穆,百度音乐:新歌TOP100
刀剑如梦,平安,百度音乐:新歌TOP100
刀锋偏冷,李宇春,百度音乐:新歌TOP100
分手分手,,百度音乐:新歌TOP100
分手分手,苏永康,百度音乐:新歌TOP100
分手天才,,百度音乐:新歌TOP100
分手天才,苏永康,百度音乐:新歌TOP100
分身情人,魏晨,百度音乐:新歌TOP100
利柏拉契,潘玮柏,百度音乐:新歌TOP100
别无所求,刘怡君,百度音乐:新歌TOP100
前任女友,黄雅莉,百度音乐:新歌TOP100
剧情杀青,孙子涵,百度音乐:新歌TOP100
加冕为王,陈翔,百度音乐:新歌TOP100
加大力度,容祖儿,百度音乐:新歌TOP100
劫后余生,胡彦斌,百度音乐:新歌TOP100
劫后余生,萧亚轩,百度音乐:新歌TOP100
劲歌金曲,古巨基,百度音乐:新歌TOP100
勇敢一点,弦子,百度音乐:新歌TOP100
勇敢一点,曾轶可,百度音乐:新歌TOP100
勇敢勇敢,黄勇,百度音乐:新歌TOP100
勇敢很好,杨丞琳,百度音乐:新歌TOP100
勇敢爱情,刘涛,百度音乐:新歌TOP100
勇敢远行,陈彦妃,百度音乐:新歌TOP100
勉强幸福,林宥嘉,百度音乐:新歌TOP100
勿忘心安,张杰,百度音乐:新歌TOP100
北京一夜,林军,百度音乐:新歌TOP100
北京一夜,张韶涵,百度音乐:新歌TOP100
北京北京,James,百度音乐:新歌TOP100
北京北京,"梁博,黄勇",百度音乐:新歌TOP100
北京北京,梁博/黄勇,百度音乐:新歌TOP100
北京巷弄,徐良,百度音乐:新歌TOP100
北京青年,跳水姑娘,百度音乐:新歌TOP100
十二生肖,王力宏,百度音乐:新歌TOP100
千年之恋,"呼斯楞,央吉玛",百度音乐:新歌TOP100
千方百计,魏晨,百度音乐:新歌TOP100
千言万语,彭佳慧,百度音乐:新歌TOP100
半城烟沙,许嵩,百度音乐:新歌TOP100
半熟恋人,袁咏琳,百度音乐:新歌TOP100
华丽战场,李欣汝,百度音乐:新歌TOP100
单人季节,"单色凌,伽菲珈而",百度音乐:新歌TOP100
单打独斗,丁克森,百度音乐:新歌TOP100
单曲循环,郭采洁,百度音乐:新歌TOP100
单身情歌,"陈羽凡,陈俊豪",百度音乐:新歌TOP100
单身美好,郭静,百度音乐:新歌TOP100
南屏晚钟,"胡海泉,范玮琪",百度音乐:新歌TOP100
南海姑娘,刘惜君,百度音乐:新歌TOP100
南雁北飞,陈宇,百度音乐:新歌TOP100
占爱为王,罗志祥,百度音乐:新歌TOP100
卡布奇诺,颜羽,百度音乐:新歌TOP100
印象大海,陈楚生,百度音乐:新歌TOP100
危险世界,方大同,百度音乐:新歌TOP100
即刻出发,吉克隽逸,百度音乐:新歌TOP100
即时生效,蔡依林,百度音乐:新歌TOP100
原来有你,"郑源,郑东",百度音乐:新歌TOP100
原来的我,"范玮琪,曾静玟",百度音乐:新歌TOP100
友情岁月,黄晓明/余文乐/阮经天,百度音乐:新歌TOP100
友情岁月,"黄晓明					  /    余文乐					  /    阮经天",百度音乐:新歌TOP100
友爱十年,twins,百度音乐:新歌TOP100
双人体操,陈珊妮,百度音乐:新歌TOP100
双城印象,满文军,百度音乐:新歌TOP100
双子情歌,罗力威,百度音乐:新歌TOP100
另眼相看,萧煌奇,百度音乐:新歌TOP100
只因为爱,沙宝亮,百度音乐:新歌TOP100
只得一生,罗大佑,百度音乐:新歌TOP100
只愿你好,王铮亮,百度音乐:新歌TOP100
可歌可泣,容祖儿,百度音乐:新歌TOP100
可爱万岁,s.h.e,百度音乐:新歌TOP100
各自幸福,苏永康,百度音乐:新歌TOP100
同桌的你,胡夏,百度音乐:新歌TOP100
后会无期,徐良,百度音乐:新歌TOP100
后会无期,G.E.M.邓紫棋,百度音乐:新歌TOP100
吟游诗人,陈奕迅,百度音乐:新歌TOP100
听你听我,张杰,百度音乐:新歌TOP100
听傲江湖,郭富城,百度音乐:新歌TOP100
听见了吗,卢广仲,百度音乐:新歌TOP100
告别娑婆,陈奕迅,百度音乐:新歌TOP100
告别飞行,陶喆,百度音乐:新歌TOP100
呼吸需要,杨千嬅,百度音乐:新歌TOP100
哎呀咿呀,陈奕迅,百度音乐:新歌TOP100
哭不出来,陶喆,百度音乐:新歌TOP100
哭不出来,刘威煌,百度音乐:新歌TOP100
哭笑不得,阿悄,百度音乐:新歌TOP100
唤醒时空,羽泉,百度音乐:新歌TOP100
唯有兄弟,庞龙,百度音乐:新歌TOP100
唱到响亮,多诺组合,百度音乐:新歌TOP100
善男信女,萧敬腾,百度音乐:新歌TOP100
喜欢孤独,陈乔恩,百度音乐:新歌TOP100
喜欢寂寞,苏打绿,百度音乐:新歌TOP100
嗨嗨人生,张震岳,百度音乐:新歌TOP100
四季列车,周杰伦,百度音乐:新歌TOP100
四度空间,棒棒堂,百度音乐:新歌TOP100
四海一家,群星,百度音乐:新歌TOP100
回不去了,信乐团,百度音乐:新歌TOP100
回到最初,蔡淳佳,百度音乐:新歌TOP100
回家的路,"曾一鸣,尹熙水,金贵晟",百度音乐:新歌TOP100
回家路上,戴佩妮,百度音乐:新歌TOP100
回心转意,周晋进,百度音乐:新歌TOP100
因为爱情,陈奕迅,百度音乐:新歌TOP100
因你而来,李晓,百度音乐:新歌TOP100
国色天香,李玉刚,百度音乐:新歌TOP100
圣女不败,杨千嬅,百度音乐:新歌TOP100
