青梅竹马,张杰
非你不可,顾莉雅
非常完美,张韶涵
非常爱你,任贤齐
预谋邂逅,阿肆
风吹麦浪,李健
风吹麦浪,"李健,孙俪"
风吹麦浪,"蔡明,潘长江"
风暴夏天,mic男团
飞翔的鹰,HAYA乐团
飞跃的心,黄晓明
饮酒思源,杨千嬅
香格里拉,魏如萱
香港之夜,刘惜君
马上有钱,朱贝贝
骄傲飞翔,张靓颖
鹿港小镇,彭佳慧
黄河长江,杨培安
黄河长江,"张雨生,杨培安"
黏黏黏黏,王心凌
黑暗骑士,"林俊杰,阿信"
黑板情书,后弦
黑白之间,"戚薇,范逸臣"
黑色幽默,金志文
黑色柳丁,周笔畅
黑色蝴蝶,汪苏泷
齐天大盛,至上励合
龙的传人,黄贯中
？？？？,"Jay Park,Simon Dominic,Gray"
2 Years Apart,Eddy Kim
7天追到你,林宇中
All About You,Hilary Duff
Body Electric,Lana Del Rey
Break It Down,SpeXial
Cliff Tension,韩国原声带
Dancing Queen,少女时代
Dream Catcher,韩国原声带
Enjoy My Life,李炜
Evolution Era,V.K克
Forever Young,GOT7
Forever Young,平安
Funny Partner,戴燕妮
Funny Partner,"戴燕妮,张柏鸣"
In Your Shoes,Sarah Mclachlan
Just A Memory,电影原声
Leaving India,纯音乐
Live A Little,Dean Alexander
Love For Sale,莫文蔚
Make You Mine,刘雨潼
My Everything,朴正炫
My Oh My(MOM),少女时代
Never Give Up,柯有伦
Open The Door,张根硕
Ryu Can Do It,CNBLUE
Say Something,Christina Aguilera
Seal The Love,BY2
She's ma girl,2PM
Water of Love,郑秀文
We Can't Stop,Miley Cyrus
Woman In Love,A-Lin
World On Fire,Slash
see you later,黎明
假如 (Live),徐剑秋
前度 新版,朱雅
北京 北京,"陈羽凡,萧敬腾"
她 （Her）,海龟先生
"我,一个人",付辛博
"明天,你好",牛奶咖啡
浏阳河2008,陶喆
爱情shalala,米娜
爱我 恨我,吴克羣
"这,就是爱",张杰
逆光 (Live),陈冰
？？ ？？,Rain
？？ ？？,李敏镐
？？ ？？,"LYn,？？？ of ？？？"
？？？ ？,电视原声
32号嫁给你,樱子
8+8=8 (新编),刘博宽
All the Lovers,Kylie Minogue
Because We Can,Bon Jovi
Because of You,Kelly Clarkson
Black Or White,胡彦斌
Dying for love,Dream Girls
Finer Feelings,Kylie Minogue
Global Warming,Pitbull/Sensato
High High High,"丁于,田斯斯"
If You Believe,Suby郑
Indestructible,少女时代
Lady Marmalade,G.E.M.邓紫棋
Last Christmas,Taylor Swift
Love Love Love,EXO-K
Lover To Lover,Florence + The Machine
One Phone Call,backstreet boys`
Remote Control,王若琳
Shine (闪耀),J-Min
Shirt (衬衫),Super Junior
Swing (嘶吼),Super Junior-M
Ten (10 Years),东方神起
We'll Be There,平安
Wild Wild Love,Pitbull
Wrapped In Red,Kelly Clarkson
i remember the,颜培珊
my summer rain,孙楠
talk that talk,rihanna
再见(？？),孝琳(Sistar)
卡拉永远OK,胡彦斌
呼吸(Breath),"CHEN,张力尹"
咆哮 (Growl),EXO
咆哮 (Growl),EXO-M
"寂寞, 好了",蔡旻佑
承诺(伴奏),袁姗姗
江湖·闪蝶,墨明棋妙
空虚 (empty),WINNER
As Time Goes By,张根硕
BABY GOOD NIGHT,B1A4
"Baby, Don't Cry",EXO-K
"Baby, Don't Cry",EXO-M
Beautiful Light,多亮
Body Feels Exit,安室奈美惠
Break The Cycle,You+Me
Broken (Intro.),MBLAQ
"DAD, YOU THERE?",JYJ
Everything I Do,周晓鸥
Evil Nerd Theme,王若琳
FALLINLOVE2NITE,"Prince,Zooey Deschanel"
Fake Your Death,My Chemical Romance
How Will I Know,Whitney Houston
Hunting For You,Robbie Williams
I Can't Believe,CNBLUE
I Heard Goodbye,Dan + Shay
I Love You Best,林一峰
I Need You Love,"杨谨, 沙滩宝贝"
If I Were A Boy,Miss A
Jewels N' Drugs,"Twista,Lady Gaga,Too Short,T.I."
Last First Kiss,One Direction
M.I.C show time,MIC男团
Meeting Krishna,纯音乐
Missing (remix),滨崎步
Only One (inst),宝儿
Permanent Stain,Backstreet Boys
Shake Your Body,"郭富城,罗志祥,蔡依林,吴莫愁"
Super Duper Fly,"张震岳,MC Hotdog,顽童MJ116"
Treasure (Live),余枫
Until It's Gone,Linkin Park
atypical 异类,尚雯婕
tonight tonight,mr.
white christmas,lady gaga
一万零一夜,罗志祥
一个人冒险,崔子格
一个人生活,温岚
一定要幸福,杨幂
一开始就错,付辛博
一样的月光,黄绮珊
一步一步爱,郑秀文
一点点喜欢,
一点点喜欢,阿福
一直很安静,毛宁
一直想着他,庄心妍
一直都是你,何晟铭
一辈子朋友,"杨坤,张靓颖"
七月七日记,宇桐非
上了你的瘾,王心凌
上千个黎明,汪峰
上帝救救我,伍佰
下一个自己,张杰
下一条微信,夏天Alex
下一站吻别,后弦
下一站天后,Twins
下一站香港,海鸣威
下一道彩虹,丁当
不一定快乐,黄雅莉
不再说分手,王菀之
不只十二月,戴爱玲
不只是情人,"张睿,莫龙丹"
不想说再见,王龙
不愿错过你,陈艺搏
不敢太幸福,黄鸿升
不是不满足,a-lin
不枉爱一场,徐申东
不爱的练习,沙宝亮
不管有多苦,张赫宣
不羁的生命,汪峰
不能没有你,信
不能没有你,范逸臣
不要来找我,张宇
不要睡懒觉,汪苏泷
不该爱的人,阿木
不过情人节,井柏然
与声音跳舞,谢天笑
且行且珍惜,大学生播客
世界大不同,彭青
世界还不错,严爵
东京下雨了,棉花糖
东方大峡谷,阿普萨萨
两个人的事,黄洋
两个人的事,李代沫
两岸一家亲,丁晓红
中国好情歌,徐一鸣
为了这一天,王铮亮
为了遇见你,戚薇/杨宗纬
为了遇见你,戚薇
习惯两个人,言承旭
习惯了寂寞,牛奶咖啡
亚特兰提斯,f.i.r.
亲爱的小孩,张赫宣
亲爱的小孩,"赵薇,黄渤,佟大为,郝蕾"
亲爱的树洞,S.H.E
亲爱的理由,阿悄
亲爱陌生人,丁当
人儿何处归,安心亚
人在江湖漂,小沈阳
人生第一次,庞龙
他不够爱你,李玖哲
仿佛是昨天,"阿来,妥云福"
会哭的礼物,陈赫
伞下的天空,安又琪
伤了我的眼,李泽坚
伤心为礼物,孙子涵
何日君再来,刘惜君
余生一起过,刘德华
你不再爱我,蔡妍
你不能爱我,牛奶咖啡
你好我就好,信
你如今好吗,许飞
你把我灌醉,尹熙水
你把我灌醉,陈洁仪
你把我灌醉,G.E.M.邓紫棋
你把我灌醉,张赫宣/黄大炜
你抱着我哭,高安
你是对的人,"戚薇,俊昊 (2PM)"
你是我的命,宇桐非
你是我的眼,许艺娜
你爱上的我,张智成
你爱看足球,崔子格
你的爱太贵,张晓琥
你还爱我吗,Sara
你还记得吗,权振东
依然在路上,李健
信今生爱过,容祖儿
做你的一半,男才女貌
做你的天使,闻美茜
像疯了一样,曾一鸣
兄弟一条命,简红
兄弟一条心,"郑源,郑东"
光荣与梦想,总政歌舞团
光阴的故事,"黄晓明,邓超,佟大为"
全部都给你,吴克群
公主复仇记,陈好
共圆中国梦,正月十五
共青团之歌,黑鸭子
其实很想你,王聃葳
再见 (？？),孝琳(Sistar)
再见穿梭机,李克勤
再见陌生人,罗志祥
农业重金属,"阿宝,山花乐队"
冰封的记忆,陈魁
分手最痛快,李泽坚
别找我麻烦,王帝
别找我麻烦,Hope组合
刺猬的拥抱,杨幂
剩女的诱惑,高维那
动人的传说,杭娇
勇敢说出爱,孟庭苇
勇气的理由,丛浩楠
北京不孤单,黄征
北京祝福你,群星
千里走单骑,谭晶
华丽的笑脸,蔡琴
华强北之恋,王力军
卑微的荣耀,张恒远
南国的孩子,张悬
原来这是爱,sara
又见山里红,祁隆
变坏的好人,江映蓉
变成陌生人,王心凌
只为你歌唱,佟丽娅
只为爱上你,s.h.e
只忘了一些,徐立
只是会可惜,梁晓雪
只爱到一半,魏晨
只爱陌生人,许茹芸
只爱陌生人,墨绿森林
只能这样了,弦子
只要你愿意,许诺
只要你爱我,刘雨潼
只要爱上你,潘玮柏
可以不流泪,老五
可惜不是你,"陈羽凡,丁泽强"
可爱的宝贝,伊能静
台湾心跳声,蔡依林
叶问风中转,陈奕迅
同一个节拍,刘坤山
同在阳光下,陈思思
吹一样的风,super junior-m
呜咽 (？？),郑秀晶
周三的情书,"蔡健雅,周三"
周末夜惊魂,林宥嘉
呼吸 (Breath),"CHEN,张力尹"
和你在一起,乔任梁
咱们结婚吧,齐晨
哪里都是你,周杰伦
唯一的选择,李炜
唱的是寂寞,爱戴
回不去了吗,萧亚轩
回头最寂寞,黄小琥
因为爱着你,龙梅子
在一起多好,江美琪
在岁月飞扬,群星
在我想起来,"李代沫,吉克隽逸"
在我想起来,李代沫/吉克隽逸
地球的心声,刘德华
坚强的理由,旭日阳刚王旭
城市的天空,牛奶咖啡
城里的月光,"胡海泉,田斯斯"
多余的关心,星弟
多余的流星,曾轶可
多情的月光,正月十五
大人摇篮曲,郭一凡
天下的姐妹,"徐千雅,凤凰传奇"
天亮后分手,尚雯婕
天使不寂寞,解小东
天使在欧洲,平安
天使的翅膀,周倩
天使都哭了,飞儿乐团
天台的月光,周杰伦
天地在我心,阿来
天地在我心,吉克隽逸/刘欢
天天情人节,"武艺,付梦妮"
天才碰麻瓜,赤道2
天气这么热,李祥祥
天涯共此时,林俊杰
太阳出来了,孟庭苇
女人的情歌,李慧珍
女人的秘密,曾轶可
女人的选择,沙宝亮
好胆你就来,叶玮庭
如果云知道,黄洋
如果你幸福,郑源
如果你爱我,曹轩宾
如果你爱我,艾怡良
如果有一天,刘忻
如果有一天,易桀齐
如果有来生,谭维维
如果没有你,林天爱
如果没有你,G.E.M.邓紫棋
如果没有你,"郑虹,李代沫"
如果没有你,郑虹/李代沫
如果爱老了,"杨幂,刘恺威"
如果遇见你,陈翔
如梦 (女版),毛泽少
如梦 (男版),简红
孤单的习惯,一加一组合
孤单的习惯,壹加壹组合
完美新世界,林俊杰
宝贝去哪儿,"王诗龄,李燃,Kimi,寇静,李湘,田雨橙,郭子睿,张悦轩,叶一茜,陈若仪"
宝贝我的宝,阿牛
害怕爱上你,谭维维
对你爱不完,金池
对你爱不完,"金池,魏语诺"
对你爱不完,金池/魏语诺
小事变乐事,罗志祥
小小的幸福,孙楠
少一分想你,黄征
少了点什么,苏慧伦
就是想着你,邱永传
就这样爱了,吴蔚
山重水又复,钟欣桐
左半边翅膀,许飞
巧克力之歌,"周天然,白客,小爱,子墨,本煜"
巴山背二哥,阿普萨萨
年轻的战场,中国好声音学员
幸福你和我,"波拉,张渼壹"
幸福的可能,周蕙
幸福的声音,林佑威
幸福的约定,李慧珍
幸福的起点,张禄籴
幸福的起点,李代沫
幸福难不难,郁可唯
廉价的眼泪,黄雅莉
开学恐惧症,高姗
开学第一课,TFBOYS
弹指一挥间,许嵩
当你想着我,品冠
当你想起我,尚雯婕
当我靠近你,梁博
当有天老去,李健
待嫁的新娘,凤凰传奇
御龙归字谣,凤凰传奇
心中一把火,张杰
心中的花园,贺军翔
心为你而碎,sara
心还是热的,S.H.E
忘不了的人,陈浩民
忘不了的你,杨洋
快乐你懂的,快乐家族
快乐的时光,谭杰希
怎样的女人,毛俊杰
思恋的勇气,彦磊
怪爱太天真,大左
恋上你背面,张学友
恋恋女人香,顾峰
恋爱大过天,刘美君
恋爱达人秀,"崔子格,老猫"
恩爱小夫妻,朱贝贝
恼人的秋风,艾菲
悄悄告诉你,范玮琪
情书不包邮,后弦
情人节故事,苏醒
情歌两三首,郭顶
情谊似酒浓,周晋进
想为你做的,王野
想你的365天,部落组合
想你的365天,"央吉玛,阿来,妥云福"
想你的365天,"李玟,张靓颖,沙宝亮,林志炫"
想你的距离,戴爱玲
想流浪的鱼,梁文音
想要忘记你,张婧
想说给你听,张娜拉
想起你的好,杨钰莹
意外的旅行,"高磊,余文飞"
感动每一刻,孙燕姿
感动每一刻,林俊杰
愿得一人心,李行亮
愿得一人心,"李行亮,雨宗林"
慢一点长大,梁文音
我不会说话,陈楚生
我不懂爱情,常石磊
我不是男神,"张亮,张悦轩"
我不是装傻,江映蓉
我从草原来,凤凰传奇
我们在改变,魏晨
我们的情歌,邓入比
我们的歌谣,凤凰传奇
我们结婚啦,"冷漠,杨小曼"
我们这一代,秦勇
我们都变了,梁晓雪
我们都怕痛,潘玮柏
我会再想你,Kimberley
我会很爱你,言承旭
我会酱子吗,曹格
我全都相信,吴克群
我只在乎你,齐秦
我叫小沈阳,小沈阳
我唱故我在,吉克隽逸
我对不起我,
我对不起我,Hebe
我就是爱你,萧敬腾
我很想爱他,林俊杰
我怀念的你,卫兰
我怎么可以,潘美辰
我想有个家,羽泉
我想结婚时,刘思涵
我愿人长久,李健
我是怎么了,谭维维
我是认真的,曹方
我是谁的谁,黄征
我没那么帅,俞灏明
我爱你中国,平安/黄英
我的中国梦,张明敏
我的傻妹妹,张玮
我的心好冷,Sara
我的滑板鞋,庞麦郎
我的雅典娜,薛之谦
我要上春晚,陈升
我要的飞翔,许飞
我那么爱你,李龙
我飞故我在,林俊杰
执着的形状,单色凌
找个人来疼,贺世哲
把幸福给你,孙楠
把幸福给你,尚雯婕
拥抱到最后,袁成杰
拥抱的印记,金海心
拥抱的温度,V.K克
拥抱的温暖,陈楚生
换个地方住,黄雅莉
掌声响起来,邓小坤
掌声响起来,直通春晚学员
掏空了快乐,徐立
"摇摆吧,70后",吉杰
放开那三国,霍尊
敲痛我的心,歌浴森
新年小情歌,大学生播客
新年新征程,大学生播客
新贵妃醉酒,吴克羣
旋转的时光,阿朵
无名的情歌,张震岳
无声的吉他,张学友
无情的情书,张杰
无需想太多,尹子维
时光的尽头,水木年华
时间的漩涡,任重
明天不上班,谢帝
明天不上班,"谢帝,蔡健雅"
明天的自己,S.H.E
明年情人节,"丁当,何润东"
星星的妈妈,"华子,周子琰,张楚,回音哥,侯磊"
春风大酒店,陈升
是不是爱情,何洁
晚安亲爱的,苏醒
曾经太年轻,蓝又时
替我珍惜她,声音乐团
最佳男配角,棒棒堂
最初的年华,张婧
最后的天使,雷诺儿
最后的航班,刘惜君
最好不相见,李漠
最好的夜晚,"梁家辉,陈慧琳"
最好的时代,凤凰传奇
最好的朋友,赖伟锋
最浪漫的事,"胡海泉,毛妮卓玛"
最牛幸福年,"陈明,陈楚生,钟伟强,央吉玛,李祥祥"
最美中国梦,正月十五
最美的时光,韩晶
最美的时光,周笔畅
最美的相遇,杨钰莹
最远的距离,沙宝亮
最长的电影,茜拉
月亮惹的祸,张宇
月光下想你,sara
有人在等我,韦礼安
有故事的人,谭维维
有点不习惯,朱雅
有谁来爱我,泳儿
朋友啊朋友,巫启贤
未完成的歌,薛之谦
末日不孤单,李代沫
李柯男之歌,"张本煜,郑一帆"
某某 (新编),杨坤
梦中的婚礼,sara
梦想纪念日,郁可唯
梦想自行车,李行亮
樱桃色情人,许哲佩
樱花的眼泪,阿兰
残忍的温柔,阿悄
残忍的缠绵,刘忻
残酷的微笑,查可欣
母爱天地间,谭晶
每一颗星辰,左立
每一颗星辰,"华晨宇,欧豪,白举纲,宁桓宇,于湉,张阳阳,饶威,左立,贾盛强,于朦胧,范世琦,居来提"
每天一点新,萧敬腾
永远不分开,李易峰
永远不回头,"萧敬腾,胡海泉,陈羽凡,范玮琪"
永远十八岁,苏妙玲
永远的兄弟,刀郎
永远的永远,关喆
没有人像你,梁静茹
没有这首歌,后弦
没那么简单,胡彦斌
法国老画家,汤小康
法海很懂爱,李承峰
泡面的幸福,"李泉,蔡妍"
浮沉主题曲,白百何
浮生千山路,杨宗纬
温暖的房间,姜昕
温柔的慈悲,南方二重唱
湘江的笔画,李宇春
漫步人生路,刘德华
漫步人生路,刘惜君
潇潇雨未歇,"周华健,苏慧伦"
火烧的寂寞,何洁
火烧的寂寞,曾一鸣
灯火 (新编),蔡健雅
灰鸟(live版),灰子
灿烂的行走,黄英
爱上都敏俊,龚玥菲
爱不会绝迹,林俊杰
爱不曾离开,许飞
爱你是种罪,梦然
爱你爱不够,孙楠
爱你的宿命,张信哲
爱又算什么,花漾年华
爱她没得救,"杜德伟,曹格,阿牛,品冠"
爱情发的光,吉克隽逸
爱情回来了,曹轩宾
爱情的味道,多亮
爱情神马价,易欣
爱情闯进门,by2
爱我很简单,蔡健雅
爱我请留言,吴若希
爱我还是他,王乃恩/山野
爱没有假如,卫兰
爱的动名片,安心亚
爱的就是你,黄晓明
爱的练习本,伊能静
爱的自由式,蔡旻佑
爱的魔幻秀,安心亚
爱笑的天使,王菲
爱要坦荡荡,丁丁
爱转了一圈,金海心
爱过就值得,汤晓菲
爱过这座城,黄征
爱过那张脸,李代沫
爱都是对的,胡夏
爸爸去哪儿,群星
爸爸去哪儿,"林志颖,Kimi,张亮,张悦轩,郭涛,郭子睿,王岳伦,王诗龄"
独处的时候,苏打绿
玫瑰色的你,张悬
生命的意义,水木年华
生命的绽放,文杰
生活在他方,钟欣桐
用一生回忆,唐嫣/罗晋
用一生回忆,唐嫣
画出我世界,尚雯婕
疯狂的阳光,张悬
痛了还想爱,李泽坚
痛心的决定,妞妞（好声音学员）
白色恋习曲,后弦
盛夏的天空,刘恺威
相忘于江湖,陈楚生
相爱的泪水,阿杜
真爱的味道,张靓颖
真爱等一下,"陶喆,蔡健雅"
真的离开我,丁亮
神武雨霖铃,阿悄
神魔不信邪,任贤齐
离开你那天,郭书瑶
离开的理由,牛奶咖啡
秋天的童话,张杰
稳稳的幸福,陈奕迅
穷的只有爱,"张智成,杨谨"
空白的缘分,柳重言
突然想爱你,丁当
突然想爱你,张杰
第一颗钮扣,郑东河
第九次初恋,阿杜
第十八封信,kent王健
等一个怀抱,蔡卓妍
等不到的爱,樊凡
等你一句话,许艺娜
答应不爱你,郑中基
红 (？？？),泫雅
纯文艺恋爱,阿牛
纹身(live版),周华健
终于等到你,张靓颖
终于说出口,"萧敬腾,唐一嘉"
给我你的爱,"张杰,林宥嘉"
给我爱过的,杨坤
给自己的歌,卓义峰
给自己的歌,纵贯线
绽放的微笑,快乐家族
羊角花又开,刘惜君
美丽中国梦,王芳
美丽心世界,韩红
美丽的神话,"纪敏佳,罗中旭"
美好的时光,许慧欣
老婆对我说,徐一鸣
胆小的勇敢,丛浩楠
背后的女人,司文
胜利的能量,胡彦斌
自由的奔跑,蘑菇兄弟
至少还有你,常石磊
至少还有你,谢安琪
舍不得忘记,武艺
舞出我人生,"平安,金池"
花吃泡面男,陆虎
草原的月亮,云飞
萝莉的魔力,琳琳
蒲公英在飞,涂议嘉
蓝色巧克力,谢娜
被偷走的爱,尚雯婕
让寂寞别走,本兮
记得我爱你,李易峰
许Sir思密达,"王麟,老猫"
该不该长大,刘美麟
误以为爱情,洪辰
说好普通话,方力申
说谎的眼泪,任军太
贝加尔湖畔,李健
走慢一点点,张震岳
走进你的梦,李宇春
走马看黄花,周迅
趁你还年轻,华晨宇
越爱越明白,尚雯婕
跟你一辈子,"孙楠,徐千雅"
跟着感觉走,"胡海泉,丁于"
路（城市）,群星
过得比我好,"何炅,邓丽欣"
还是算了吧,门丽
还有我疼你,李宇春
还要不要走,陈奕迅
这一刻爱吧,付辛博
这就是爱吗,容祖儿
连卡佛小姐,尚雯婕
追梦的孩子,段林希
追梦赤子心,2013年快男12强
那么爱的人,黄征
那女孩是谁,徐誉滕
那就这样吧,"刘雨潼,杨承熹,赵谨俨,朱晨辰"
那时的我们,董洁
邻家躲猫猫,梁咏琪
都对也都错,张惠妹
都是夜归人,许美静
都要好好的,小沈阳
都要好好的,小沈阳+沈春阳
酒干倘卖无,南方二重唱
酒干倘卖无,"彭佳慧,顺子"
重作一个梦,任家萱
错过了地址,王菀之
错过的风景,冷漠
闪亮的日子,胡彦斌
问妈妈好吗,陈翔
阿姆斯特丹,黄耀明
阿嬷的教示,傅滢滢
陌生的舞会,张蔷
陌陌陌生人,楚博仁
除下吊带前,薛凯琪
陪你一辈子,凤凰传奇
陪你到终点,孙子涵/陆瑶
陪我去流浪,阿悄
陪我好不好,"陈佳薪,张智成"
隐形的翅膀,龚琳娜
青春不下线,吴莫愁
青春告别诗,庞龙
静静的夜晚,王铮亮
风从哪里来,侧田
风儿阵阵吹,潘杰明
飞鸟的记忆,邱小龙
鱼儿(live版),鲁向卉
麋鹿的眼泪,唐朝乐队
？？ (再见),孝琳(Sistar)
？？ (约定),金秀贤
？？？？？,朴正炫
？？？？？,"徐仁国,DK"
？？？？？,"Geeks,Mamamoo"
BEAUTIFUL TARGET,B1A4
Believe In Music,苏打绿
Do What You Want,Daphne Willis
Everything I Own,Boyzone
Finally (终于),J-Min
I Am Yes I Am No,宋媛媛
I Gotta Feelling,AK人声
I Want Your Love,周传雄
Knock On My Door,"Four Tops,The Supremes"
Love Warrior 战,尚雯婕
Miss Independent,Kelly Clarkson
Someone Like You,金池
Someone Like You,沙宝亮
Someone Like You,郑虹/胡彦斌
Someone like you,郑虹
Tatu Bom de Bola,Arlindo Cruz
The One And Only,谢安琪
Thunder (雷电),EXO-M
You’re My Lady,Toheart(WooHyun&Key)
the freedom song,jason mraz
一个人 (Live),黄铃凯
一个人 (Live),"铃凯,吴青峰"
你如今好吗?,许飞
加油!你有me!,阿兰
卷珠帘 (Live),霍尊
太贪心(Blind),周觅
思念谁 (Live),帕尔哈提
感觉 pure love,张靓颖
我很忙 (Live),陈永馨
断了线+回家,林志炫
爱着谁 (Live),耿斯汉
秋意浓 (Live),刘明湘
绝世神功2014,谢华
针针扎 (Live),辛若天
"风起时,想你",陈楚生
香味（Live）,黄绮珊
？ ？？？？,CNBLUE
？？ (Ooh Ooh),"Eric Nam,？？ - Infinite"
？？ ？？？,15＆
？？ ？？？,朴志胤
？？？ (Rain),2PM
？？？ ？？,？？
？？？？ ？,崔振赫
Back to the World,纯音乐
Do You Ever Shine,五月天
Girl Who Got Away,Dido
Girls Girls Girls,GOT7
How You Remind Me,Avril Lavigne
It Should Be Easy,"Britney Spears, will.i.am"
Man In The Mirror,尚雯婕
Man In The Mirror,王力宏
Man In The Mirror,陈冠希
Mr.Chu (On Stage),Apink
Not Even The King,Alicia Keys
One Day Like This,Sarah Brightman
Redeemer of Souls,Judas Priest
Since U Been Gone,Kelly Clarkson
Só Dan？O Samba,"Stan Getz,Jo？o Gilberto"
That Person (from,Ja Myoung Gu
The Power Of Love,黄绮珊
The World Is Love,周子琰
The World Is Ours,David Correy
Where I Come From,passion pit
Wherever Together,HA:TFELT
Why Nobody Fights,华晨宇
You Are Not Alone,苏丁琦
you are Beautiful,乔任梁
上瘾 (Overdose),EXO-M
"下个,路口,见",李宇春
墨荭潮 (Remix),"彭坦,CNdY"
心疼·笔记本,韩庚
益起走 easy go,周笔畅
？ ？ (Tonight),WINNER
？？（Inst.）,孝琳(Sistar)
？？？ (Growl),EXO
？？？ (Growl),EXO-K
1-4-3 (I Love You),Henry
A Moment Like This,中国梦之声
Alone (Infinite H),
Alone (Infinite H),Infinite
Appa&#039;s Lesson,纯音乐
Back At One (Live),余枫
Butterfly (蝴蝶),"Henry,SEUL GI (SMROOKIES)"
Dance To The Music,李宇春
Fantastic (迷幻),Henry
Gold in Them Hills,Katie Melua
I&#039;m Ready now,纯音乐
Little star 星光,尚雯婕
One Moment In Time,彭佳慧
Red Hot Kinda Love,Christina Aguilera
SHINe (Medusa Ⅰ),SHINee
Turn It Up (Intro),李夏怡
Waitin' On The Day,John Mayer
You Give Good Love,Whitney Houston
You Leave Me Alone,梁晓雪
can you forgive me,陈冠希
一万个对不起,祁隆
一个人 (新编),黄铃凯
一个人(live版),黄铃凯
一个人不可能,丁当
一个人唱情歌,陈楚生
一个人的北京,海鸣威
一切都会过去,田维英
一生只爱一人,电视原声
一直看见天使,容祖儿
一首简单的歌,"莫龙丹,金志文"
七十亿分之一,黄鸿升
七秒钟的记忆,徐良
三个人去旅游,彭青
不再让你孤单,水木年华
不按牌理出牌,magic power
不消失的回忆,孟庭苇
不知道为什么,六哲
不能承受的爱,尚雯婕
不能说的秘密,Hope组合
世界唯一的你,杨承熹
两个下雪的夜,尚雯婕
两个人的荒岛,周定纬
两颗心一起飞,"谭耀文,徐申东"
为什么不早说,"慕容晓晓,陈炳强"
会有那么一天,水木年华
你一半我一半,棉花糖
你一定会成功,筷子兄弟
你不知道的事,桂雨濛
你不知道的事,王力宏
你是另一个我,黄征
你是我的男神,周艳泓
你是我的距离,李峙
你是我的风景,何洁
你的爱太嚣张,谢容儿
你还相信爱吗,林天爱
倍儿爽(live版),大张伟
做你心上的人,唐古
像星 (？？？),K.Will
像梦一样自由,张赫宣
像风一样奔跑,司文
元芳你怎么看,陈佳薪
元芳你怎么看,冷漠/赵小兵
再一次说爱你,严宽
再给我放一首,王啸坤
再见面的时候,黄雅莉
别理我烦着呢,慕容晓晓
十七岁的雨季,"林志颖,快乐家族"
十万毫升泪水,莫龙丹
印第安老斑鸠,艾怡良
去伊犁的路上,刀郎
只需要一首歌,李慧珍
只需要一首歌,李慧珍/樊凡
听得见的梦想,张惠妹
喜欢你(live版),G.E.M. 邓紫棋
回不去的温柔,孙浩
在分手的地方,黄雅莉
地球上的爱人,后弦
多一个人陪伴,东来东往
大声说我爱你,小山
大朋友小朋友,蘑菇兄弟
天堂上的妈妈,唐古
天边的格桑花,何静
失恋这件小事,安又琪
女人们的咖啡,蔡淳佳
她在睡前哭泣,"马达,林惠敏"
好人一生平安,常石磊
如果我离开了,彦磊
如果爱回不来,彦磊
如此懦弱的我,徐良
对不起我爱你,金贵晟
对自己好一点,金志文
小星星 The Star,"尚雯婕,华晨宇"
山谷里的回声,"邓超,羽泉"
山风一样自由,阿鲁阿卓
工体爱情故事,海鸣威
幸福不是情歌,刘若英
幸福的两口子,庞龙
开在心里的花,黄圣依
当爱已成往事,"辛晓琪,周华健"
往事并不如烟,蔡卓妍
待我长发及腰,尚雯婕
很快就要离开,周传雄
心中唯一的花,张瑶
怎么你怎么了,陈数
恰似你的温柔,刘惜君
情人节的夜晚,"本兮,小贱"
想着你亲爱的,祁隆
想神马有神马,"李代沫,吴莫愁"
想要回到过去,何洁
感谢你感动我,李宇春
我不是我自己,陈楚生
我不是高富帅,高安/曹磊
我们一直都在,胡彦斌
我们去探险吧,"拜尔娜,姜琪航,王睿卓,张钰琪,曲婉婷,蹇佳成"
我们爱过就好,"薛之谦,黄龄"
我们的宿舍307,庞龙
我和我的朋友,姜育恒
我就是这样的,黄贯中
我想你要走了,张悬
我是我的情人,阿悄
我的声音很惨,邓入比
我的心给了你,郁可唯
我能给的天亮,王铮亮
我记得我爱过,何润东
抱着你的感觉,费玉清
拂了一身还满,黄耀明
拥抱你的微笑,郭静
挖蛤蜊(live版),沙洲
敢问路在何方,刀郎
数不尽的星空,曾沛慈
新无言的结局,大张伟
明天天亮以后,艾梦萌
最后一次寂寞,丁当
最后一滴眼泪,刘若英
最后一滴眼泪,纯音乐
最爱的那个人,邻家王子
最美好的时光,祝兰兰
月光 (Moonlight),EXO-M
有可能的夜晚,曾轶可
来不及说爱你,张靓颖
每一天都不同,郭静
比寂寞更寂寞,炎亚纶
比想象更想你,品冠
没有什么不同,曲婉婷
法海你不懂爱,龚琳娜
法海我不爱你,"孙子涵,李潇潇"
洗澡时唱的歌,莫文蔚
烛光里的妈妈,张赫宣
烟火里的尘埃,华晨宇
爱上你没道理,孙悦
爱与痛的边缘,刘威煌
爱从分手开始,欧弟
爱你是贪心的,冷漠
爱你真的很累,任军太
爱在天长地久,"张睿,刘惜君"
爱情三十六计,成青
爱情三十六计,林军
爱情是否依然,陈楚生
爱情是怎么了,胡彦斌
爱我的每个人,任家萱
爱我的请举手,许明明
爱我的请举手,墨绿森林
爱的双重魔力,BY2
爱自己最快乐,张婧
生命像块石头,杨坤
生命站立成树,群星
留一盏灯给你,许诺
白蛇爱情物语,金莎
盒子里的梦想,张铠麟
