10minutes-韩国歌曲,李孝利
一千个轮回,易丹
一千个轮回,易丹
一千零一个愿望,4InLove
一天一天(OrchestraVer.),BIGBANG
一定要爱你,孙露
一封家书,石进
一帅到底(动画片《熊出没》插曲),崔健
一曲相送,图桠格
一曲红尘,郭少杰
一段情一段伤,龙梅子
一段情歌一段伤,龙梅子
一片艳阳天,杨钰莹
一物降一物,门丽
一生一世爱一回,闫旭
一生去守候,高安
一生爱你千百回,梅艳芳
一生爱你千百回,梅艳芳
一百个放心,张津涤
一起摇吧,谢华
一起摇吧,谢华
一路不变,温岚
一路的歌唱,"张冬玲,阿宝"
一辈子一场梦,张卫健
一辈子的赌注,祁隆
七剑战歌,七剑
七滴眼泪,六哲
七秒钟的记忆,徐良vs孙羽幽
七秒钟的记忆(feat.孙羽幽),徐良
七秒钟的记忆-苏小小,徐良
七色光,小蓓蕾组合
万壑松风图,史志有
万家灯火,艾歌
万山之巅,徐千雅
万物生(梵文),萨顶顶
万物生（中文版）,萨顶顶
万里长城永不倒,叶振棠
万里长城永不倒,罗文
三十三块,郑智化
三千世界鸦杀尽,洛天依
三只熊(韩国儿歌),未知
三吋日光,梁静茹
三天,黑龙
三天三夜(伴奏),歌浴森
三妻四妾,王媛渊
三字经,经典老歌
三家店-将身儿来至在大街口,于魁智
三德歌,谭晶
三步踩,交谊舞曲
三步踩-天高云蓝2008-7,草原歌曲
三生三世,孟庭苇
三生三世,"王蓉,萧正楠"
三生石三生路,阿兰
三百六十五个祝福,蔡国庆
三百六十五里路,文章
三轮车-谢小宇,MC
上山打老虎,小蓓蕾组合
上帝是个女孩,欧美经典
上帝是女孩-钢琴演奏舒缓版,钢琴曲
上班上班,李泽坚
上瘾(??)(Overdose),EXO-K
上瘾的毒药,李泽坚
上邪-唱,小曲儿
上马酒之歌,乌兰托娅
下一次爱情来的时候,蔡健雅
下一秒,G.E.M.邓紫棋
下一站是幸福,徐千雅
下一首悲哀,"单色凌,梦岚"
下定决心忘记你,网络歌手
下定决心忘记你,大哲
下辈子不做女人,陈瑞
下辈子不要再遇见你,艾歌
下辈子也要找到你,孙露
下辈子也要找到你,张艾文
下辈子做你的女人(remix王志),龙梅子
下辈子做你的女人-dj王志rmx,龙梅子
下辈子如果我还记得你,马郁
下雨时你会想起谁,石进
下马酒,草原歌曲
下马酒之歌,德德玛
不会再让你哭,祁隆
不会改变,谢天笑
不做你幸福的玫瑰,红月
不再留恋,耿云飞
不分手的恋爱-网络歌手完美版,汪苏泷
不如去嗨,易丹
不存在的存在,邓紫棋
不必多说,任军太
不怨,袁姗姗
不怨(电视剧《宫锁连城》主题曲),袁姗姗
不想回家的女人,大哲
不想回家的女人,孙露
不想离开,张栋梁
不想让你哭,王强
不愿放手,黑龙
不是因为你美丽我才爱上你DJ版,何龙雨
不是因为寂寞才想你,T.R.Y
不是对不起都换来没关系,李贵府
不是每个恋曲都有美好回忆,林志颖
不是现在(?????),BEAST
不白活一回,毛阿敏
不眠之夜(?????),"Crush,(Punch)"
不离不弃,"艾歌,丁童"
不离不弃,"艾歌,丁童"
不管发生什么别放开我的手,"高恺蔚,赵心蕾"
不管有多老,何真真
"不能分手的女人,不能离开的男人",LeeSsang
不能厮守的爱,李泽坚
不能厮守的爱,李泽坚
不能厮守的爱dj版,李泽坚
不要再来伤害我,孙露
不要再来伤害我,张振宇
不要再说你还爱我,冷漠
不要在脸上留下眼泪,"罗百吉,宝贝"
不要对我说,程响
不要对我说无所谓,祁隆
不要认为自己没有用,成龙
不要让爱你的人再受伤,李贵府
不见长安,河图
不该相遇在秋天,程响
不配说爱我,常艾非
且试天下,墨明棋妙
世界名曲,轻音乐
世界第一的公主殿下-miku,初音未来
东京爱情故事-突然发生的爱情主题曲,小田和正
东北东北,张冬玲
东北人都是活雷锋,雪村
东南西北风,李玲玉
东南西北风,卓依婷
东方中国龙,李贵府
两地情缘,"程响,王羽泽"
丫头,王童语
中三傍晚的思念,"龙梅子,草原歌曲"
中国人民解放军军歌,红色摇滚
中国人民解放军进行曲,军歌
中国十大古典名曲之五,"古典音乐,十面埋伏"
中国少年先锋队队歌,中国少年先锋队队歌
中国火,谢华
中国移动,"黑龙,冷漠"
中国节,皆大欢喜
中国马,朱贝贝
中意他,梁咏琪
串烧,"经典老歌,慢摇,宝丽金"
串烧-11首,周杰伦
串烧舞曲club,ashao
临水照花,"晃儿,墨明棋妙"
丹顶鹤的故事,朱哲琴
"为了你,为了我",Beyond
为了我为了你,任军太
为了谁,"祖海,佟铁鑫"
为了谁,龚玥
为了谁,"祖海,佟铁鑫"
为了谁,董文华
为什么你要伤害一个爱你的人,欢子
为什么受伤的总是我,林志颖
为什么相爱的人不能在一起,郑源
为你等待,白玛多吉
为你等待,次仁央宗
为你跑成罗圈腿,阿宝
为梦想领跑,容中尔甲
为龙,河图
主是我力量,基督教歌曲
久别的人,白雪
久别的人,白雪
么么哒,王麟
义勇军进行曲,国歌
乘客,王菲
九九女儿红,陈少华
九夏忧伤,带泪的鱼
九月九的酒,陈少华
九鼎天下,董贞
乡恋,李谷一
二泉吟,董文华
于谦-于谦泡澡,郭德纲
于谦-人在江湖相声专场跨年晚会,郭德纲
于谦-屌丝青年,郭德纲
于谦-弄死你巡演大连,郭德纲
于谦-最新力作爆笑演绎快乐生活,郭德纲
于谦-相声我要旅游德云社,郭德纲
于谦-郭德纲于谦禁播相声小段,郭德纲
亏欠一生,裘海正
云水禅心,古筝佛赞
五哥放羊,阿宝
五百年桑田沧海,龚玥
五百年桑田沧海(游戏《斗战神》主题曲),丹妮
五百年长海桑田,西游记
亚洲之夜,罗百吉
交响童话,胎教音乐
亲亲老婆,任军太
亲亲老婆,任军太
亲亲老婆(dj版),任军太
亲密的爱人,梅艳芳
亲爱的你可知,程响
亲爱的你可知(奇葩版),程响
亲爱的你怎么不在我身边,江美琪
亲爱的姑娘我爱你,草原歌曲
亲爱的嫁给我DJ版,何龙雨
人在旅途,云菲菲
人在旅途,凤飞飞
人情味(????),"Gary,郑仁"
人生就是一场梦,艾歌
人生就是一场梦,艾歌
人间情多,李殊
人间正道是沧桑,韩磊
人魚伝説,本多俊之
什么都不想要(声动亚洲),简红
今夜我对你想入非非,云菲菲
今夜无眠,周冰倩
今夜无眠,龚玥
今夜舞起来,张冬玲
今天是你的生日,李娜
今天是你的生日我的祖国,董文华
今生有你,龙梅子
今生爱上你,"高安,张渼壹"
今生爱的就是你,祁隆
今生陪你一起走,冷漠
从一片落叶开始,"苏打绿,PriscillaAhn"
从头再来-重头再来,刘欢
从未这样心动过,祁隆
他和她的故事,萧亚轩
他的猫,徐良
仙剑赋,董贞
仙女湖,徐千雅
众人划桨开大船,付笛生
众里寻你,韩红
会有那一天,任军太
伞下,张宇
传奇（声动亚洲）,霍尊
传说中的天堂,艾歌
传说中的天堂-dj慢摇嗨曲,艾歌
传说中的天堂-劲爆dj-dj版,艾歌
传递梦想(让你移动),"黑龙,冷漠"
伤了我的眼(dj何鹏mix),李泽坚
伤害,李贵府
伤害DJ舞曲,李贵府
伤心城市对唱,"冷漠,云菲菲"
伤心城市（DJ版）,"云菲菲,冷漠"
伤心泪,陈星
伤心的人别听慢歌,五月天
伤心的人别听慢歌（贯彻快乐）,五月天
伤心的时候可以听情歌,欢子
伴奏,"亡灵序曲,女生版"
伶仃谣,河图
但愿人长久（声动亚洲）,"霍尊,韩真真"
低碳贝贝,"林妙可,柳博,香奈儿,群星"
何必西天万里遥,西游记
佛乐藏音大悲咒,大悲咒
佛说圣佛母般若波罗蜜多心经,王菲
你一定很爱他,黑龙
你不像她(新歌),南拳妈妈
你不是我（DJ版）,徐良
你不要再对他哭了(rap版),带泪的鱼
你不要再对他哭了(旋律版),带泪的鱼
你会爱我到什么时候,雷婷
你会爱我到什么时候,郑东
你会爱我到什么时候,陶钰玉
你們要赞美耶和华,赞美之泉
你偷走了我的心,祁隆
你好吗，天气好吗,邓福如
你家门前(Inst.)????,金秀贤
你家门前(????),金秀贤
你家门前(????),金秀贤
你就是我最想要的人,老猫
你得娶我,郭德纲
你快乐(所以我快乐),王菲
你快乐未必我快乐,田馥甄
你怎么舍得我流泪,艾歌
你怎么舍得我流泪,艾歌
你想好怎么对她说,许佳慧
你想要的是什么,龙梅子
你懂不懂爱,唐古
你懂不懂爱,唐古
你懂得,李贵府
你懂得(Live),"杨钰莹,小沈阳"
你懂的DJ舞曲,李贵府
你把什么都带着,李泽坚
你把爱情给了谁(你把爱给了谁),黑龙
你把爱情给了谁-并四心兰制作,"龙梅子,王强"
你把爱还给我,高安
你是不是我最疼爱的人,蓝岚
你是太阳我是星星,"小臭臭,泰歌"
你是我今生最爱的女孩,孙露
你是我今生的唯一,艾歌
你是我今生的唯一-dj高品质,艾歌
你是我的主角,贺世哲
你是我的玫瑰花,庞龙
你是我的罗密欧,陈兴瑜
你是我的花朵,伍佰
你是风儿我是沙,"周杰,林心如"
你潇洒我漂亮,韩宝仪
你潇洒我漂亮,李玲玉
你猜猜我有多爱你,龙梅子
你的意味(????),"IU,"
你的所有瞬间(PianoVer.)??????,成诗京
你的所有瞬间（??????）,成诗京
你的温柔DJQQ,子枫
你的温柔DJ何鹏,子枫
你的温柔DJ阿圣,子枫
你的爱给了谁,歌浴森
你的生日,郑智化
你的眼睛背叛了你的心,张学友
你的眼角流着我的泪,曹越
你的长发（葫芦丝版）,张挥
你看蓝蓝的天,杨钰莹
你知道我在等你们分手吗,卫兰
你说爱我又不爱我,金生水
你身边的人曾经是我,"阿宝,张冬玲"
你那么想他不痛吗,带泪的鱼
你那么想他不痛吗,带泪的鱼
你那么想他不痛吗(rap版),带泪的鱼
使劲摇,芭比
依然-minemine,歌浴森
侥幸者,刘思涵
信天游,程琳
信天游,"阿宝,张冬玲"
修女的伤,程响
倍儿爽(官方正式版),大张伟
借点情借点爱,曹越
值得,迪克牛仔
倾尽天下,河图
倾尽天下,河图
假如爱有天意,卡洛儿
偏偏遇见你,艾歌
做你心上的人（520告白版）,唐古
做你怀里的那只猫,贺世哲
做你怀里的那只猫-dj加快2013,贺世哲
做你的爱人,饶天亮
做你的雪莲,"艾歌,何龙雨"
做你的雪莲,艾歌
做你的雪莲-dj良少2013-mix,艾歌
做你的雪莲-wo99.com消音bz-637661,艾歌
做你的雪莲-吉特巴海棠试听,艾歌
做你的雪莲-吉特阳光制作,艾歌
做你的雪莲-广东茂名阿河dj慢摇嗨曲,艾歌
做我老婆好不好,DJ小可
傲包相会,刀郎
傻傻男孩,吴欢
傻傻的爱傻傻等待,贺一航
傻瓜与野丫头,"张宇,徐熙娣"
像中枪一样(??????),白智英
像今天这样的眼泪(???????),许阁
像今天这样的眼泪(???????),许阁
像星(???),K.Will
像星(???),K.Will
像男人一样去战斗,"小宇,DJ"
像男人一样去战斗,孙浩雨
像男人一样去战斗-加快5倍,DJ
像蝴蝶一样飞,王绎龙
像针锥一样,带泪的鱼
像针锥一样,带泪的鱼
元芳你怎么看,"冷漠,赵小兵"
元芳你怎么看DJ版,"冷漠,赵小兵"
兄弟的歌,"黑龙,徐亮"
兄弟难当DJ何鹏,杜歌
兄弟难当DJ阿元,杜歌
光彩第二街,龙梅子
光芒全新缩混版,凤凰传奇
光辉岁月(国语版),黄家驹
克罗地亚狂想曲,马克西姆
克罗地亚狂想曲,MakSim
免失志,卓依婷
兔子舞,群星
兔子舞,英文歌曲
全世界丢弃了我你也不离开我,带泪的鱼
全世界丢弃了我你也不离开我,带泪的鱼
全世界宣布爱你,"孙子涵,李潇潇"
全世界宣布爱你,"孙子涵,李潇潇"
全世界最伤心的人,老猫
全世界最伤心的人(DJ舞曲),老猫
全世界都知道你变了心,艾歌
全新精选慢摇串烧,AaRON
八月照相馆,李健
八连杀肚兜,佚名
公路之歌,痛仰
六层楼,宋冬野
兰若词,墨明棋妙
兰若词,刘亦菲
共产党来了苦变甜,"刀郎,云朵"
关于那件事,"阿悄,庄心妍"
关忆北,宋冬野
内蒙古黑怕,"魏雪漫,MC"
再度重相逢,伍佰
再度重相逢,孙露
再度重相逢,伍佰
再接再励,龙梅子
再活五百年-3288,屠洪刚
再爱一回,任军太
再爱一回,任军太
再见(Inst.)??,孝琳(Sistar)
再见(??),孝琳(Sistar)
再见(??),孝琳(Sistar)
再见(??),孝琳(Sistar)
"再见,原点",白举纲
再见——警察,冯曦妤
再见了大别山,刘和刚
再见了最爱的人,水木年华
再见小时候,南拳妈妈
再见爱人,李泽坚
再见爱人,李泽坚
再见爱人dj版,李泽坚
再见爱人dj版,李泽坚
再见理想,Beyond
再见理想,Beyond
再说一次我爱你,刘德华
军中绿花,龚玥
冬天里的白玫瑰,地铁兄弟T&T
冰冷的绝对,李泽坚
冰吻,王键
冰山上的雪莲,郑钧
冰河时代2(DjYufeiRemix),网络歌手
冰河时代女声中文版,DJ小可
冰火DJ舞曲,李贵府
冰糖葫芦,冯晓泉
冰雪战歌网,"我的好兄弟,MC"
冷冷再见,带泪的鱼
冷雨夜-词黄家强曲主唱黄,黄家驹
准提咒,陆墨妮
凌乱的华丽,单色凌
凌晨1点(????)(1AM),太阳
几秒钟,赵小兵
凤凰劫,河图
凤凰展翅,凤凰传奇
凤凰展翅,司徒兰芳
凤舞九天,DJ
出卖我,程响
出卖我-2012-dj加快版,程响
出卖我-a版2012-dj伟伟mix,程响
出卖我-b版2012-dj伟伟mix,程响
出卖我-dj-dj-mix-2012天皓,程响
出卖我-dj大雪慢摇大雪remix,程响
出卖我-dj子亮2012加快版高品质,程响
出卖我-dj小波2012-remix,程响
出卖我-dj志勇潮流版,程响
出卖我-dj最新版本,程响
出卖我-博白dj蓝锦疯狂版,程响
出卖我-慢摇嗨曲加快版dj阿呆上传,程响
出卖我DJ,程响
出卖我dj,程响
出墙,"程响,王嘉南"
出水莲,古筝
出界,张智成
出界,郑秀文
分开那天,程响
分手了别来打扰我,孙露
分手了别来打扰我,冷漠
分手了还是朋友,程响
分手了还是朋友,程响
分手了还是朋友-原版伴奏,程响
分手以后做个朋友,黑龙
分手以后做个朋友dj版,黑龙
分手再会(???????),Davichi
分手后还是朋友,高安
分手吧是我让你累了,吴爽
分手在那个秋天,DJ小可
分手在那个秋天,浩瀚
分手就分手,小山
刘哈哈与大先生,"刘心,大鹏"
刘海砍樵,"李谷一,武力"
初恋未满,张含韵&曹轩宾
别以为你帅,龙梅子
别再说,孙露
别再问我什么是迪斯科,张蔷
别咬我,"许嵩,影子,阿布"
别哭了宝贝DJ版,皓天
别哭我最爱的人,郑智化
别哭我最爱的人,水木年华
别在伤口洒盐,张惠妹
别在伤口洒盐,张惠妹
别害怕,罗震环
别想她,高进
别把我的心带走,孙露
别把自己当成腕,李泽坚
别把自己当成腕儿,李泽坚
别用下辈子安慰我,陈瑞
别看我只是一只羊,杨沛宜
别碰我-dj舞曲,劲舞团
别离开我好吗(伴奏),黑龙
别让情两难,"范文芳,张信哲"
别说我的眼泪你无所谓,郑源
别说我的眼泪你无所谓,东来东往
前度,朱雅
前门情思大碗茶,杭天琪
剑心,小曲儿
剑起苍澜,董贞
剑雨浮生,"吴青峰,萨顶顶"
剪不断理还乱,龙梅子
加州旅馆,老鹰乐队
加速度,瞿颖
动天Heaven-ShakingEvent,火影忍者
劲爆-舞曲16首88分钟连播伤感音乐空间制造,Dj
劲爆舞曲-强烈推荐韩国舞曲dj歌,dj舞曲
劳力士男人,"赵小兵,冷漠"
勇敢的狂奔-与狼共舞片尾曲,老猫
勿忘你,高安
北京东路的日子,群星
北京东路的日子,群星
北京呼唤你(伴奏),黑龙
北京爱情,小柯
北国之春-浪漫萨克斯,萨克斯
北戴河之歌,GALA
北方的天空下,刀郎
北方的狼,齐秦
十七岁的新娘,龙梅子
十三电音,网络歌手
十不该,"迟志强,张秀艳"
十二道锋味,谢霆锋
十元人民币,小驴-TOMMY
十送红军,龚玥
十送红军,杨钰莹
十送红军,宋祖英
十送红军,黑鸭子
千与千寻,久石让
千年缘,心然
千本樱,初音未来
千百年后谁又记得谁,韩磊
午夜唱情歌,姜玉阳
华山论剑,射雕英雄传
华胥引,河图
卓玛的歌(原创),降央卓玛
单身歌,庞龙
单身歌,龙梅子
卖报歌,小蓓蕾组合
卖报歌,儿童歌曲
南山忆,许嵩
南无大悲观世音菩萨,刘小茜
南无本师释迦牟尼佛,古筝佛赞
南无观世音菩萨,许巍
南无观世音菩萨圣号,佚名
南无阿弥陀佛,古筝佛赞
南无阿弥陀佛,李娜
南无阿弥陀佛,原声带
南无阿弥陀佛圣号,耀一法师
南飞雁,侃侃
南飞雁,李玉刚
卡农-摇滚版,Jerryc
卡农钢琴曲（VariationsontheCanon）,我的野蛮女友
卡农（Canon）,Inishkea
卡比巴拉的海,宋冬野
卡萨布兰卡,英文经典老歌
卡门幻想曲,张乐
卧龙吟,刘欢
即使知道要见面,Sara
历史的天空,毛阿敏
原来你从来没有爱过我,唐古
原来我和你,龙梅子
原来爱情这么伤,梁咏琪
原谅我一次,欢子
原谅我不懂爱,G.E.M.邓紫棋
原野牧歌,小蓓蕾组合
原香草,乌兰图雅
厨师之歌,李志洲
又唱浏阳河,宋祖英
又见老情人,"高安,马睿菈"
友谊之光,玛俐亚
友谊之光,周润发
友谊地久天长,小蓓蕾组合
友谊地久天长,黑鸭子
双人床,艾歌
反璞归真,屠颖
发疯,李贞贤
变心的翅膀,陈明真
口弦(电视剧《听见凉山》插曲),赵艺涵
口弦弦,王二妮
口袋的温度,田馥甄
古剎夕照,古筝佛赞
古剑吟,古剑奇谭
古琴禅修,巫娜
只想做你的男人,欢子
只想凝视着你卡通片尾曲,灌篮高手
只是你(?????),朴始焕
只是太爱你(国),张敬轩
只有两个人的小说,带泪的鱼
只有你(????),金泰宇
只欠秋天,马天宇
只要你的爱,谢华
只要你的爱,"谢华,卢惠美"
只要你的爱,"谢华,卢惠美"
只要你过得比我好,钟镇涛
只要你过得比我好,蘑菇兄弟
叫一声哥哥你快回来,王二妮
叫你一声MyLove,小虎队
可不可以放弃,程响
可惜不是双鱼座(新曲),石进
可爱的一朵玫瑰花,云飞
可爱的一朵玫瑰花,塔斯肯
可爱颂,Hari
史卡保罗市集ScarboroughFair,SarahBrightman
叹情歌,高安
吃喝嫖赌抽,阿权
各自远扬（声动亚洲）,霍尊
各自远飏,中孝介
吉他曲,轻音乐
吉祥,云飞
吉祥,春雷
吉祥三宝,黑鸭子
吉祥年,凤凰传奇
吉祥的酥油灯,降央卓玛
吉祥谣,容中尔甲
同一首歌(2013版),毛阿敏
同桌的你(风行版),老狼
同类,孙燕姿
名媛,爱戴
后(?),J-Min
后(?),J-Min
向幸福出发,带泪的鱼
向往神鹰,亚东
向往神鹰,容中尔甲
君をのせて,宫崎骏
听着情歌流眼泪,高进
听袁惟仁弹吉他,周杰伦
听袁惟仁弹吉他,S.H.E
听！是谁在唱歌？,"刘若英,黄韵玲"
吹喇叭-完整版儿童不宜,DJ
吹眼睛,庞龙
吻别英文,佚名
吻和泪,周子寒
呜咽(??),郑秀晶
命运不是辘轳,经典老歌
和兰花在一起,雅尼
和天亮说晚安,谢华
咕叽咕叽,孙燕姿
咖啡屋,千百惠
咚吧啦,萨顶顶
咪咪小花猫,小蓓蕾组合
咬住下唇(??????),Esna
咬住下唇??????,Esna
咱们从小讲礼貌,小蓓蕾组合
咱爸咱妈,"龙梅子,老猫"
咸鱼,五月天
咿呦,子曰
品乡愁,高安
哆来咪,音乐之声
哇咔哇咔-非洲时刻m39s,世界杯主题曲
哇啦哇啦v,歌浴森
哈依勒,谢华
哥只是个传说（哥只是一个传说）,陈旭
哥哥你真帅,龙梅子
哥哥妹妹要安慰,"何龙雨,孙语"
哭诸葛,刘欢
唐伯虎点秋香,过江龙
唐宋元明清,后弦
唯爱,"薛凯琪,周子扬"
唱支山歌给党听,张冬玲
唱着情歌流着泪DJ版,祁隆
唱脸谱,杭天琪
啦啦啦德玛西亚,音频怪物
喀什噶尔胡杨,刀郎
喀秋莎,黑鸭子
喂！喂！,周笔畅
喊麦,"DJ,小枫,洪磊,MC"
喜欢妳,Beyond
喝着烈酒唱情歌,龙梅子
嗨曲-djdj-kk劲爆舞曲现场狂嗨曲动感,DJ
嗨！MrsLeta,凤凰传奇
嘟啊嘟啊,DJ
嘟噜沙玛,DJ小可
嘟比嘟,DJ小可
囚鸟(声动亚洲),简红
四叶草,李易峰
回不去的甜,小贱
回到起点,董贞
回家(萨克斯风),发烧试音碟
回家-萨克斯,轻音乐
回家见爹娘,皆大欢喜
回心转意-2009-dj2009dj版,黑龙
回心转意-2009-dj版作曲隆隆作,黑龙
回心转意-dj加快小于mdj.sy.2角,黑龙
回心转意-dj阿圣remix,黑龙
回心转意-伴奏,黑龙
回心转意2009,黑龙
回忆唱给你听,小5
回忆的画面,程响
回想(WhenIWas…WhenUWere…),"CHEN,郑秀晶"
回梦游仙,心然
因为你爱上他,蒋雪儿
因为你爱上他,蒋雪儿
因为是女子,Kiss组合
"因为爱,所以爱",谢霆锋
因为爱你戒了烟,祁隆
因为爱情（法语版）,弗雷德乐队
团结就是力量,霍勇
国家,"成龙,刘媛媛"
国旗国旗多美丽,幼儿歌曲
圣诞旅行,带泪的鱼
圣诞结(国语),陈奕迅
在一起(合唱版),"钟欣潼,胡彦斌"
在你之前我早已有了她,冷漠
在你离开那一天,"汪东城,曾沛慈"
在梦中,彭丽丽
在雨中,汪峰
在雨中,"刘家昌,尤雅"
地球仪,动漫原声
地藏经,佛教音乐
地铁五号线,歌浴森
坏人恋人,简红
坐在巷口的那对男女,自然卷
坚强的石头,石头
堕落天使,郑智化
塞北的雪,彭丽媛
填密爱,庄心妍
夏夕空,中孝介
夏天的味道,许飞
夏日华尔兹(Summerwaltz),Bandari
外婆的彭湖湾,张明敏
多么爱你,零点乐队
多啦a梦,小蓓蕾组合
多情伤离别,"高安,司徒兰芳"
多想把你抱住,高进
多爱我一点,温岚
多谢了,谢华
夜の潮,高维那
夜的钢琴曲(五),石进
夜的钢琴曲(五),纯音乐
夜空中最亮的星,逃跑计划
夜空中最亮的星,escapeplan逃跑计划
夜空中最亮的星,逃跑计划乐队
夜空中最亮的星,毛川
夜空中最亮的星,张恒远
够不着的吻,贺世哲
够钟,周柏豪
大吉大利中国年,王麟
大哥你好吗？,甘萍
大国民,郑智化
大圈圈,安瑞兮
大头儿子小头爸爸主题曲,佚名
大头皮鞋,韩晓
大好河山,玖月奇迹
大姑娘美大姑娘浪,刘晓
大悲咒-古筝笛子协奏曲,佛教音乐
大悲咒-梵音原唱慈悲版mp3.1,佛教音乐
大悲咒-梵音可重复播放,佛经
大悲咒-龚玥为你祈福,佛教音乐
大悲咒南无大慈大悲观世音菩萨,佛歌
大悲咒童声版,佛教音乐
大敦煌,刀郎
大明劫,小野丽莎
大海啊故乡,谭晶
大花轿,火风
大象拨河,小蓓蕾组合
大辫子,王二妮
大长今韩文版主题曲,原声大碟
大雨还在下,网络歌手
大雨还在下,龙梅子
大风大浪大步走,李泽坚
大风大浪大步走,李泽坚
大骂小日本,"洪磊,MC"
大高原,乌兰托娅
天上星星下凡来,胎教音乐
天上有没有北大荒,韩磊
天下最美,格格
天下最美的草原,呼斯楞
天不下雨天不刮风天上有太阳,"于文华,尹相杰"
天之痕,钢琴曲
天仙配(树上的鸟儿成双对),严凤英
天佑女人们你们听好续集,MC
天佑携手夜小岩女人们你们听好续集,MC
天使之泪,张翰
天使宝贝,胎教音乐
天冷就回来,龙梅子
天地孤影任我行,陈勋奇
天天都想见到你,龙军
天池,李玉刚
天注定,庄心妍
天生一对（DJ版）,天孪兄弟
天空之城-钢琴久石让李家祥,钢琴曲
天空之城（钢琴版）,郭燕
天空角落,张楚
天竺少女,西游记
天籁之音-班得瑞钢琴好听的纯音乐,轻音乐
天籟之爱,萨顶顶
天越蓝我就越想你,乌兰图雅
天路(TraditionalVersion),韩红
天边的骆驼,蒋大为
天边的骆驼,呼斯楞
天马座的幻想-fver,圣斗士星矢
天龙八部,"信乐团,赖水清"
太囧,"楚博仁,王麟"
太多Ii,陈冠蒲
太爱你,刘忻
太阳最红毛主席最亲,李姗殷善音
夫妻那些事,大庆小芳
失去你的黄昏,黑龙
失忆蝴蝶,陈奕迅
失恋情歌,安东阳
失语者,简红
"奇怪,我不懂得爱","本兮,小伟"
奇迹再现,毛华锋
奈何桥边,谢华
奥林匹克鼓号曲,群星
女人不是妖-司徒兰芳dj酷b2013新rmxclub,dj小苏
女人不需要性感不是骚,"DJ,网络歌手,MC"
女人们你们听好,MC天佑
女人天下,刘庭羽
女人是老虎,李娜
女人的美,龙梅子
女儿情,李玉刚
女儿情,龚玥
女儿情,童丽
女儿情,西游记
女儿情,吴静
女友结婚了新郎不是我-m24s,印度歌曲
女大要出嫁,龙梅子
女孩担水,王二妮
女汉子,周艳泓
女驸马,李玲玉
女驸马,经典老歌
女驸马,韩再芬
女驸马-谁料皇榜中状元韩再芬mtv,黄梅戏
好兄弟(伴奏),黑龙
好想再爱你,颜亚涛
好想大声叫喜欢你,灌篮高手
好想好想,古巨基
好想好想,赵薇
好春光,吴彤
好爸爸，坏爸爸,小蓓蕾组合
好甜好甜的梦,胎教音乐
好男人都死哪儿去了,崔子格
好男儿,汤潮
好运来,卓依婷
如果云知道(声动亚洲),简红
如果伤害了我你会好过,谢华
如果伤害了我你会好过,谢华
如果你不再爱了,罗中旭
如果再回到从前,张学友
如果可以不爱你,艾歌
如果我是Dj你还会爱我吗,王绎龙
如果爱上你是一个错,丁亮
如果真的不再爱我,祝兰兰
如果缘只到遇见,吴奇隆
如烟+如果还有明天,五月天
妈咪的怀抱里,胎教音乐
妈妈我想你,汤潮
妈妈留给我一首歌,郑绪岚
妈妈的吻,杨钰莹
妈妈的吻,卓依婷
妈妈的吻,程琳
妈妈的吻,小蓓蕾组合
妈妈的吻,朱晓琳
妖精尾巴的战斗插曲,妖精的尾巴
妙手空空,"成龙,周华健,张震岳"
妹妹你大胆的往前走,"戴荃,蘑菇兄弟"
妹妹的酒,"李泽坚,司徒兰芳"
妹妹的酒,"李泽坚,司徒兰芳"
妹妹的酒dj版,"李泽坚,司徒兰芳"
妻子,谭晶
姐是老中医专治吹牛逼,佚名
姑娘像花一样,安东阳
姑娘想嫁人,袁哲
姑娘我爱你DJ版,索朗扎西
姑娘我铁了心跟着你啦,"龙梅子,老猫"
姑娘爱情郎,慕容晓晓
娃哈哈,小蓓蕾组合
娉婷扬袖舞风轻,王俊雄
婉君,李翊君
嫁给人民币,李贵府
嫁衣,苏仨
嫂子颂,李娜
孟婆的碗,魏佳艺
孤单背影,陈慧娴
孤单背影,陈慧娴
孤独不苦,张卫健
孤独啊,CNBLUE
学不会放手,黑龙
学习雷锋好榜样,小臭臭
学习雷锋好榜样,小蓓蕾组合
孽子,周旖喆
宇宙之大,许嵩
守候在凌晨两点的伤心秀吧,刀郎
守护,樊凡
安妮的仙境,Bandari
安娜,冷漠
宋家皇朝,喜多郎
完成不了的爱,龙梅子
完美人生,程响
完美的再见(Goodbyemylove)(Inst),SuperJunior-M
官封弼马温,童声合唱
宝宝的音符,雷蒙拉普
宝宝睡着了,幼儿歌曲
宝贝(InADay),张悬
宝贝宝贝我爱你DJ版,陈兴瑜
宝马车里哭泣的女人（DJ版）,张祥洪
家乡的姑娘,索朗扎西
家乡美,汤灿
家和万事兴,"张也,郁钧剑"
容易受伤的女人(国语),王菲
容颜,陈楚生
容颜,任军太
寂寞列车,汪峰
寂寞星球的玫瑰TheRose,G.E.M.邓紫棋
寂寞是你给的苦,冷漠
寂寞红,袁姗姗
寂寞花火,顾莉雅
寂静之声,姚斯婷
寂静的天空,代青塔娜
寒江雪,"郑源,储兰兰"
寒衣调,河图
"对不起,我爱你",1983组合
对不起谢谢,陈奕迅
对不起，我还爱你,回音哥
对她好一些,艾歌
对待坏女孩,孙子涵
